Van Gogh Diffusion,lvngvncnt,https://civitai.com/api/download/models/102
Elden Ring Style,elden ring style,https://civitai.com/api/download/models/29
SynthwavePunk,SNTHWVE STYLE,https://civitai.com/api/download/models/1105
SynthwavePunk,NVINKPUNK,https://civitai.com/api/download/models/1105
Robo-Diffusion,nousr robot,https://civitai.com/api/download/models/50
Deep Space Diffusion,JWST,https://civitai.com/api/download/models/39
Superhero Diffusion,comicmay,https://civitai.com/api/download/models/1
Papercut,Papercut,https://civitai.com/api/download/models/48
Midjourney Papercut,mdjrny-pprct,https://civitai.com/api/download/models/90
All in one Pixel Model,pixelsprite,https://civitai.com/api/download/models/41
All in one Pixel Model,16bitscene,https://civitai.com/api/download/models/41
Jak's Woolitize Image Pack,nothing special here,https://civitai.com/api/download/models/1090
JH's samdoesarts,samdoesarts,https://civitai.com/api/download/models/1100
Modern Disney,modern disney style,https://civitai.com/api/download/models/26
Comic Diffusion,charliebo artstyle,https://civitai.com/api/download/models/46
Comic Diffusion,holliemengert artstyle,https://civitai.com/api/download/models/46
Comic Diffusion,marioalberti artstyle,https://civitai.com/api/download/models/46
Comic Diffusion,pepelarraz artstyle,https://civitai.com/api/download/models/46
Comic Diffusion,andreasrocha artstyle,https://civitai.com/api/download/models/46
Comic Diffusion,jamesdaly artstyle,https://civitai.com/api/download/models/46
Openjourney (aka MidJourney v4),mdjrny-v4 style,https://civitai.com/api/download/models/96
Jaks Creepy Critter Pack,food_crit,https://civitai.com/api/download/models/1045
Inkpunk Diffusion,nvinkpunk,https://civitai.com/api/download/models/1138
Redshift Diffusion,redshift style,https://civitai.com/api/download/models/73
Arcane Diffusion,arcane style,https://civitai.com/api/download/models/25
Jak's Voxel-ish Image Pack,voxel-ish,https://civitai.com/api/download/models/1089
DC Animated Universe,Batman_the_animated_series,https://civitai.com/api/download/models/3
Samdoesarts Ultmerge,samdoesarts style,https://civitai.com/api/download/models/77
ChromaV5,ChromaV5,https://civitai.com/api/download/models/1121
Anything V3,anime,https://civitai.com/api/download/models/75
Classic Animation Diffusion,classic disney style,https://civitai.com/api/download/models/16
Samdoesarts V2,samdoesarts,https://civitai.com/api/download/models/99
Waifu Diffusion,anime,https://civitai.com/api/download/models/121
Midjourney TestP,midjourneytestp style,https://civitai.com/api/download/models/7
Samdoesarts Homage,samdoesarts style,https://civitai.com/api/download/models/70
Cyberware Conceptual Model,mechanical parts,https://civitai.com/api/download/models/34,nsfw
Cyberware Conceptual Model,mechanical 'body part or object,https://civitai.com/api/download/models/34,nsfw
Cyberware Conceptual Model,cyberware style,https://civitai.com/api/download/models/34,nsfw
Rotoscopee,rotoscopee,https://civitai.com/api/download/models/72
Pixel Landscapes,16-bit-landscape pixel art style,https://civitai.com/api/download/models/17
Tracer Diffusion,tracerx,https://civitai.com/api/download/models/123,nsfw
cartoona-animals,cartoona-animals,https://civitai.com/api/download/models/853
Pokemon Style,Pokemon,https://civitai.com/api/download/models/10
